,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2020 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (684),Condition (684),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
AAXJ,17d RSI AAXJ LT32 - L AAXJ,21.2 %,6.7 %,10604,3347,91.7 %,7.5 %,23.1 %,88.8 %,0.0 %,-4.5 %,4,6,0.3,0.5,100.0 %,83.3 %,,1.5,2651,546,5.3 %,1.1 %,1.8,2.2,0,1,4,3,0,1,3,3,0,0,1,2,,5,4,5,,7.3,11.9,2.3,0,-517,0.0 %,-1.0 %,0,-517,0.0 %,-1.0 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,80.0 %,2651,759,0,-517,100.0 %,100.0 %
ACWI,21d RSI ACWI LT42 - L ACWI,13.6 %,16.2 %,6821,8109,18.8 %,11.5 %,72.6 %,140.9 %,-7.8 %,-1.4 %,9,10,0.8,0.8,66.7 %,90.0 %,1.1,7.1,758,759,1.5 %,1.5 %,2.8,1.9,3,1,6,6,2,1,5,5,0,0,3,5,2,9,6,9,2.2,64.1,1.1,5.3,-11299,-120,-11.3 %,-0.2 %,-11299,-120,-11.3 %,-0.2 %,0,0,0.0 %,0.0 %,66.7 %,90.0 %,66.7 %,90.0 %,71.4 %,88.9 %,2079,857,-1883,-120,100.0 %,100.0 %
ACWV,19d RSI ACWV LT48 - L ACWV,10.0 %,7.7 %,4975,3840,27.1 %,6.0 %,36.8 %,129.0 %,-11.0 %,-0.2 %,14,7,1.2,0.6,64.3 %,100.0 %,0.9,,355,532,0.7 %,1.1 %,2.5,1.1,2,0,6,7,2,0,7,7,1,0,3,4,1.8,,9,7,1.6,,0.6,4.8,-14362,0,-14.4 %,0.0 %,-14362,0,-14.4 %,0.0 %,-1481,0,-1.5 %,0.0 %,64.3 %,100.0 %,64.3 %,100.0 %,70.0 %,100.0 %,1514,532,-1729,0,60.0 %,100.0 %
ACWX,20d RSI ACWX LT40 - L ACWX,7.3 %,7.9 %,3657,3967,16.8 %,9.9 %,43.7 %,80.0 %,-13.8 %,-3.3 %,8,9,0.7,0.8,62.5 %,77.8 %,0.9,1.7,457,430,0.9 %,0.9 %,3.1,1.8,3,2,4,5,2,1,4,5,1,0,2,4,1.7,3.5,5,7,1.5,5.8,0.5,2.1,-14101,0,-14.1 %,0.0 %,-14101,-807,-14.1 %,-1.6 %,-1527,0,-1.5 %,0.0 %,62.5 %,77.8 %,62.5 %,77.8 %,71.4 %,87.5 %,2142,668,-2350,-404,75.0 %,100.0 %
AGG,19d RSI AGG LT47 - L AGG,-1.5 %,1.4 %,-766,673,27.3 %,6.3 %,-5.6 %,21.2 %,-0.1 %,-0.1 %,9,5,0.8,0.4,66.7 %,100.0 %,0.2,,-85,134,-0.2 %,0.3 %,4.3,2.2,1,0,3,5,1,0,3,5,1,0,2,3,2,,6,5,0.5,,-0.6,6.8,-2669,0,-2.7 %,0.0 %,-2669,0,-2.7 %,0.0 %,-2669,0,-2.7 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,115,134,-485,0,60.0 %,100.0 %
AGQ,18d RSI AGQ LT36 - L AGQ,-7.3 %,11.9 %,-3660,5951,10.5 %,6.0 %,-69.5 %,200.0 %,-36.2 %,-2.4 %,4,6,0.3,0.5,75.0 %,83.3 %,0.3,1.8,-915,955,-1.8 %,1.9 %,3,1.5,1,1,2,3,1,0,2,5,1,0,1,3,3,5,3,5,0.8,9,-0.2,2.5,-38573,-713,-38.6 %,-1.4 %,-38573,0,-38.6 %,0.0 %,-15620,0,-15.6 %,0.0 %,75.0 %,83.3 %,75.0 %,83.3 %,75.0 %,100.0 %,5209,1288,-19286,-713,50.0 %,100.0 %
AIA,16d RSI AIA LT31 - L AIA,11.7 %,7.8 %,5827,3906,100.0 %,6.0 %,11.7 %,131.2 %,0.0 %,-0.9 %,2,5,0.2,0.4,100.0 %,100.0 %,,,2914,760,5.8 %,1.5 %,1,2,0,0,2,5,0,0,2,4,0,0,1,3,,,2,5,,,7.6,4.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,2914,760,0,0,100.0 %,100.0 %
AIRR,5d RSI AIRR LT21 - L AIRR,-0.3 %,13.3 %,-148,6672,15.4 %,6.3 %,-1.9 %,210.2 %,-11.7 %,-0.9 %,7,6,0.6,0.5,71.4 %,100.0 %,0.4,,-21,1058,-0.0 %,2.1 %,3.3,1.7,2,0,4,6,2,0,4,6,1,0,2,5,2.5,,5,6,1,,0,4.7,-12030,0,-12.0 %,0.0 %,-12030,0,-12.0 %,0.0 %,-9419,0,-9.4 %,0.0 %,71.4 %,100.0 %,71.4 %,100.0 %,71.4 %,100.0 %,1173,1058,-3008,0,75.0 %,100.0 %
AMLP,15d RSI AMLP LT23 - L AMLP,-53.4 %,3.6 %,-26711,1820,88.9 %,5.2 %,-60.1 %,70.6 %,-51.9 %,-3.4 %,2,3,0.2,0.2,0.0 %,66.7 %,0,4.2,-13355,605,-26.7 %,1.2 %,7,3.3,2,1,0,2,2,1,0,2,1,1,0,1,0,2,0,2,0,8.5,-1.6,1.5,-53421,-242,-53.4 %,-0.5 %,-53421,-242,-53.4 %,-0.5 %,-53421,-242,-53.4 %,-0.5 %,0.0 %,66.7 %,0.0 %,66.7 %,0.0 %,66.7 %,0,1028,-13355,-242,0.0 %,50.0 %
