,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
AAXJ,13d RSI AAXJ LT37 - L AAXJ,4.6 %,8.6 %,2297,4315,33.3 %,6.0 %,13.8 %,143.8 %,0.0 %,-6.6 %,2,5,0.2,0.4,100.0 %,100.0 %,,,1149,831,2.3 %,1.7 %,1,2,0,0,2,5,0,0,2,4,0,0,1,4,,,2,5,,,7.9,3.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1149,831,0,0,100.0 %,100.0 %
ACWV,16d RSI ACWV LT56 - L ACWV,-1.0 %,20.8 %,-479,10489,51.7 %,68.4 %,-1.9 %,30.7 %,-2.9 %,-5.0 %,6,43,0.5,3.6,66.7 %,81.4 %,0.3,1.5,-80,221,-0.2 %,0.4 %,3.8,2.9,2,1,4,16,2,1,3,24,1,0,1,11,2,4.4,4,35,0.7,6.4,-0.3,5,-2941,-729,-2.9 %,-1.5 %,-2941,-429,-2.9 %,-0.9 %,-2941,0,-2.9 %,0.0 %,66.7 %,81.4 %,66.7 %,81.4 %,60.0 %,87.5 %,248,322,-735,-221,50.0 %,100.0 %
ACWX,17d RSI ACWX LT41 - L ACWX,2.2 %,8.7 %,1108,4371,78.6 %,5.6 %,2.8 %,156.1 %,-0.1 %,-4.4 %,3,5,0.2,0.4,66.7 %,100.0 %,10,,369,842,0.7 %,1.7 %,2.7,1.8,1,0,2,5,1,0,2,4,0,0,1,3,2,,2,5,20,,2.1,3.2,-117,0,-0.1 %,0.0 %,-117,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,583,842,-58,0,100.0 %,100.0 %
AGG,4d RSI AGG LT21 - L AGG,0.9 %,3.0 %,459,1494,27.7 %,9.6 %,3.3 %,31.1 %,-0.1 %,-0.8 %,4,7,0.3,0.6,75.0 %,100.0 %,5.4,,115,209,0.2 %,0.4 %,2.2,2.4,1,0,2,7,1,0,2,7,0,0,2,6,3,,3,7,16.3,,2.4,6,-60,0,-0.1 %,0.0 %,-60,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,163,209,-30,0,100.0 %,100.0 %
ANGL,4d RSI ANGL LT19 - L ANGL,0.7 %,2.6 %,370,1290,82.4 %,7.6 %,0.9 %,34.0 %,-0.5 %,-2.8 %,3,4,0.2,0.3,66.7 %,75.0 %,1.2,8.4,123,318,0.2 %,0.6 %,3.7,3.8,1,1,1,2,1,1,1,2,0,1,1,1,2,3,2,3,2.4,25.3,0.7,2.2,-516,-52,-0.5 %,-0.1 %,-516,-52,-0.5 %,-0.1 %,0,-52,0.0 %,-0.1 %,66.7 %,75.0 %,66.7 %,75.0 %,66.7 %,75.0 %,314,441,-258,-52,100.0 %,66.7 %
AOA,3d RSI AOA LT13 - L AOA,5.4 %,9.9 %,2680,5016,34.3 %,9.2 %,15.6 %,109.0 %,0.0 %,-3.7 %,4,6,0.3,0.5,100.0 %,100.0 %,,,670,800,1.3 %,1.6 %,2,2.8,0,0,4,6,0,0,4,6,0,0,2,6,,,4,6,,,5.1,3.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,670,800,0,0,100.0 %,100.0 %
AOK,3d RSI AOK LT26 - L AOK,1.4 %,5.9 %,696,2976,42.6 %,17.6 %,3.3 %,33.8 %,-0.7 %,-2.6 %,6,13,0.5,1.1,50.0 %,100.0 %,3,,116,221,0.2 %,0.4 %,2.3,2.3,3,0,2,13,3,0,2,13,0,0,3,9,1,,3,13,3,,1.1,5.7,-712,0,-0.7 %,0.0 %,-712,0,-0.7 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,351,221,-119,0,100.0 %,100.0 %
AOM,3d RSI AOM LT19 - L AOM,3.5 %,8.3 %,1735,4206,36.2 %,16.0 %,9.6 %,52.6 %,-0.1 %,-2.7 %,6,11,0.5,0.9,83.3 %,100.0 %,11.4,,289,366,0.6 %,0.7 %,1.8,2.6,1,0,3,11,1,0,3,11,0,0,3,8,5,,5,11,56.9,,3.2,4.4,-62,0,-0.1 %,0.0 %,-62,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,353,366,-31,0,100.0 %,100.0 %
AOR,3d RSI AOR LT15 - L AOR,5.7 %,7.4 %,2838,3744,34.0 %,8.4 %,16.7 %,89.1 %,0.0 %,-2.7 %,6,6,0.5,0.5,100.0 %,100.0 %,,,473,602,0.9 %,1.2 %,1.7,2.5,0,0,6,6,0,0,6,6,0,0,3,5,,,6,6,,,6.3,4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,473,602,0,0,100.0 %,100.0 %
