ticker,branch_id
AGG,10d RSI AGG LT20 - L AGG
AGQ,6d RSI AGQ LT12 - L AGQ
AIRR,20d RSI AIRR LT38 - L AIRR
AMLP,19d RSI AMLP LT38 - L AMLP
AOR,21d RSI AOR LT33 - L AOR
ARKG,3d RSI ARKG LT12 - L ARKG
ARKK,4d RSI ARKK LT11 - L ARKK
BAR,12d RSI BAR LT28 - L BAR
BCI,5d RSI BCI LT12 - L BCI
BIZD,20d RSI BIZD LT37 - L BIZD
BOIL,4d RSI BOIL LT10 - L BOIL
BOTZ,21d RSI BOTZ LT33 - L BOTZ
CALF,4d RSI CALF LT13 - L CALF
COPX,10d RSI COPX LT24 - L COPX
CORN,20d RSI CORN LT35 - L CORN
COWZ,5d RSI COWZ LT13 - L COWZ
CQQQ,4d RSI CQQQ LT10 - L CQQQ
CXSE,4d RSI CXSE LT10 - L CXSE
DBA,12d RSI DBA LT33 - L DBA
DBC,3d RSI DBC LT10 - L DBC
DES,12d RSI DES LT29 - L DES
DFEN,14d RSI DFEN LT34 - L DFEN
DGRW,14d RSI DGRW LT30 - L DGRW
DIA,21d RSI DIA LT35 - L DIA
DIV,9d RSI DIV LT23 - L DIV
DIVB,10d RSI DIVB LT26 - L DIVB
DIVI,11d RSI DIVI LT26 - L DIVI
DOG,20d RSI DOG LT35 - L DOG
DON,15d RSI DON LT34 - L DON
DPST,17d RSI DPST LT35 - L DPST
DRIP,18d RSI DRIP LT31 - L DRIP
DRN,18d RSI DRN LT28 - L DRN
DSI,20d RSI DSI LT36 - L DSI
DVY,21d RSI DVY LT36 - L DVY
DVYE,5d RSI DVYE LT10 - L DVYE
DXJ,4d RSI DXJ LT12 - L DXJ
EBND,13d RSI EBND LT25 - L EBND
EDV,6d RSI EDV LT16 - L EDV
EDZ,3d RSI EDZ LT12 - L EDZ
EEM,5d RSI EEM LT11 - L EEM
EFAV,6d RSI EFAV LT11 - L EFAV
EFG,18d RSI EFG LT30 - L EFG
EIS,7d RSI EIS LT19 - L EIS
EMB,7d RSI EMB LT16 - L EMB
EMLP,19d RSI EMLP LT37 - L EMLP
ESGD,5d RSI ESGD LT11 - L ESGD
ESGU,21d RSI ESGU LT36 - L ESGU
EWD,6d RSI EWD LT17 - L EWD
EWG,4d RSI EWG LT12 - L EWG
EWH,13d RSI EWH LT21 - L EWH
EWM,21d RSI EWM LT29 - L EWM
EWS,7d RSI EWS LT19 - L EWS
EWY,6d RSI EWY LT14 - L EWY
EWZS,7d RSI EWZS LT20 - L EWZS
EZA,21d RSI EZA LT33 - L EZA
EZU,5d RSI EZU LT12 - L EZU
FAS,15d RSI FAS LT31 - L FAS
FCG,21d RSI FCG LT39 - L FCG
FDIS,19d RSI FDIS LT35 - L FDIS
FDN,4d RSI FDN LT11 - L FDN
FENY,14d RSI FENY LT35 - L FENY
FEZ,5d RSI FEZ LT13 - L FEZ
FHLC,21d RSI FHLC LT36 - L FHLC
FIDU,21d RSI FIDU LT35 - L FIDU
FLCH,6d RSI FLCH LT13 - L FLCH
FLCO,8d RSI FLCO LT19 - L FLCO
FLJP,17d RSI FLJP LT33 - L FLJP
FNDA,19d RSI FNDA LT34 - L FNDA
FSTA,7d RSI FSTA LT19 - L FSTA
FTCS,21d RSI FTCS LT34 - L FTCS
FTHI,12d RSI FTHI LT32 - L FTHI
FTXL,20d RSI FTXL LT38 - L FTXL
FTXO,16d RSI FTXO LT34 - L FTXO
FTXR,14d RSI FTXR LT31 - L FTXR
FUTY,11d RSI FUTY LT24 - L FUTY
FV,17d RSI FV LT35 - L FV
FXF,7d RSI FXF LT14 - L FXF
FXR,17d RSI FXR LT36 - L FXR
FXU,21d RSI FXU LT33 - L FXU
GDX,20d RSI GDX LT33 - L GDX
GDXJ,5d RSI GDXJ LT17 - L GDXJ
GLL,4d RSI GLL LT13 - L GLL
GLTR,4d RSI GLTR LT13 - L GLTR
GNR,10d RSI GNR LT26 - L GNR
GRID,21d RSI GRID LT36 - L GRID
GSLC,21d RSI GSLC LT36 - L GSLC
GUNR,13d RSI GUNR LT29 - L GUNR
GUSH,21d RSI GUSH LT38 - L GUSH
HACK,4d RSI HACK LT12 - L HACK
HDGE,17d RSI HDGE LT36 - L HDGE
IAI,16d RSI IAI LT33 - L IAI
IBND,6d RSI IBND LT11 - L IBND
ICF,12d RSI ICF LT23 - L ICF
ICVT,5d RSI ICVT LT10 - L ICVT
IDU,11d RSI IDU LT24 - L IDU
IDV,13d RSI IDV LT30 - L IDV
IEZ,8d RSI IEZ LT26 - L IEZ
IGE,20d RSI IGE LT36 - L IGE
IGF,18d RSI IGF LT32 - L IGF
IGM,4d RSI IGM LT11 - L IGM
IGV,4d RSI IGV LT14 - L IGV
IHF,20d RSI IHF LT37 - L IHF
IHI,17d RSI IHI LT32 - L IHI
IJK,20d RSI IJK LT35 - L IJK
IJR,16d RSI IJR LT33 - L IJR
IJT,12d RSI IJT LT29 - L IJT
IMCG,15d RSI IMCG LT28 - L IMCG
INDY,14d RSI INDY LT32 - L INDY
IPAC,15d RSI IPAC LT31 - L IPAC
IQDF,6d RSI IQDF LT15 - L IQDF
ITA,14d RSI ITA LT34 - L ITA
ITB,10d RSI ITB LT27 - L ITB
ITOT,21d RSI ITOT LT36 - L ITOT
IUSG,18d RSI IUSG LT34 - L IUSG
IUSV,11d RSI IUSV LT27 - L IUSV
IVE,6d RSI IVE LT16 - L IVE
IVLU,7d RSI IVLU LT20 - L IVLU
IVV,21d RSI IVV LT38 - L IVV
IVW,21d RSI IVW LT37 - L IVW
IWB,19d RSI IWB LT35 - L IWB
IWD,7d RSI IWD LT19 - L IWD
IWM,16d RSI IWM LT30 - L IWM
IWR,19d RSI IWR LT33 - L IWR
IWV,21d RSI IWV LT35 - L IWV
IWX,11d RSI IWX LT28 - L IWX
IXC,14d RSI IXC LT34 - L IXC
IXJ,21d RSI IXJ LT35 - L IXJ
IYC,20d RSI IYC LT35 - L IYC
IYE,20d RSI IYE LT38 - L IYE
IYG,15d RSI IYG LT32 - L IYG
IYH,19d RSI IYH LT36 - L IYH
IYR,18d RSI IYR LT29 - L IYR
IYT,12d RSI IYT LT29 - L IYT
JHMM,19d RSI JHMM LT34 - L JHMM
JQUA,21d RSI JQUA LT36 - L JQUA
KBA,20d RSI KBA LT30 - L KBA
KIE,5d RSI KIE LT16 - L KIE
KRE,14d RSI KRE LT33 - L KRE
KSA,19d RSI KSA LT30 - L KSA
LEMB,13d RSI LEMB LT23 - L LEMB
LIT,21d RSI LIT LT34 - L LIT
LQD,5d RSI LQD LT13 - L LQD
LRGF,20d RSI LRGF LT37 - L LRGF
LVHI,5d RSI LVHI LT16 - L LVHI
MGC,20d RSI MGC LT37 - L MGC
MLPA,20d RSI MLPA LT40 - L MLPA
MOAT,4d RSI MOAT LT11 - L MOAT
MOO,19d RSI MOO LT33 - L MOO
MORT,19d RSI MORT LT28 - L MORT
MTUM,4d RSI MTUM LT10 - L MTUM
NAIL,17d RSI NAIL LT32 - L NAIL
NLR,11d RSI NLR LT30 - L NLR
NOBL,9d RSI NOBL LT22 - L NOBL
NUGT,21d RSI NUGT LT33 - L NUGT
NULG,5d RSI NULG LT12 - L NULG
OEF,20d RSI OEF LT37 - L OEF
OIH,12d RSI OIH LT29 - L OIH
OUNZ,20d RSI OUNZ LT35 - L OUNZ
PBD,4d RSI PBD LT11 - L PBD
PBUS,19d RSI PBUS LT35 - L PBUS
PCEF,17d RSI PCEF LT26 - L PCEF
PDBC,21d RSI PDBC LT38 - L PDBC
PFF,10d RSI PFF LT22 - L PFF
PFFD,5d RSI PFFD LT10 - L PFFD
PFXF,21d RSI PFXF LT32 - L PFXF
PGX,5d RSI PGX LT10 - L PGX
PHYS,13d RSI PHYS LT28 - L PHYS
PILL,10d RSI PILL LT26 - L PILL
PPH,7d RSI PPH LT20 - L PPH
PREF,10d RSI PREF LT11 - L PREF
PRF,8d RSI PRF LT22 - L PRF
PSI,4d RSI PSI LT12 - L PSI
PSK,5d RSI PSK LT11 - L PSK
PSQ,3d RSI PSQ LT12 - L PSQ
PTLC,20d RSI PTLC LT43 - L PTLC
QCLN,12d RSI QCLN LT27 - L QCLN
QID,3d RSI QID LT11 - L QID
QLD,19d RSI QLD LT35 - L QLD
QLTA,9d RSI QLTA LT22 - L QLTA
QQQE,21d RSI QQQE LT35 - L QQQE
QQXT,3d RSI QQXT LT10 - L QQXT
QUAL,19d RSI QUAL LT35 - L QUAL
