ticker,ours_branches,sheet_branches
ACWI,17d RSI ACWI LT32 - L ACWI,21d RSI ACWI LT34 - L ACWI
ACWV,16d RSI ACWV LT30 - L ACWV,21d RSI ACWV LT32 - L ACWV
ACWX,14d RSI ACWX LT29 - L ACWX,12d RSI ACWX LT28 - L ACWX
AIA,6d RSI AIA LT15 - L AIA,5d RSI AIA LT14 - L AIA
AOA,18d RSI AOA LT33 - L AOA,17d RSI AOA LT32 - L AOA
AOK,21d RSI AOK LT31 - L AOK,21d RSI AOK LT30 - L AOK
AOM,20d RSI AOM LT32 - L AOM,21d RSI AOM LT32 - L AOM
ARGT,10d RSI ARGT LT29 - L ARGT,9d RSI ARGT LT28 - L ARGT
ARKQ,10d RSI ARKQ LT22 - L ARKQ,8d RSI ARKQ LT19 - L ARKQ
ARKW,4d RSI ARKW LT10 - L ARKW,4d RSI ARKW LT11 - L ARKW
BIV,14d RSI BIV LT27 - L BIV,20d RSI BIV LT31 - L BIV
BLV,6d RSI BLV LT15 - L BLV,5d RSI BLV LT11 - L BLV
BND,9d RSI BND LT19 - L BND,10d RSI BND LT20 - L BND
BNO,11d RSI BNO LT34 - L BNO,10d RSI BNO LT32 - L BNO
BTAL,7d RSI BTAL LT26 - L BTAL,4d RSI BTAL LT17 - L BTAL
BWX,10d RSI BWX LT19 - L BWX,9d RSI BWX LT18 - L BWX
BWZ,8d RSI BWZ LT17 - L BWZ,8d RSI BWZ LT18 - L BWZ
CEF,9d RSI CEF LT20 - L CEF,19d RSI CEF LT32 - L CEF
CIBR,20d RSI CIBR LT34 - L CIBR,3d RSI CIBR LT11 - L CIBR
COMT,4d RSI COMT LT13 - L COMT,9d RSI COMT LT26 - L COMT
CWI,7d RSI CWI LT20 - L CWI,10d RSI CWI LT27 - L CWI
DBO,4d RSI DBO LT16 - L DBO,4d RSI DBO LT15 - L DBO
DDM,20d RSI DDM LT34 - L DDM,21d RSI DDM LT35 - L DDM
DDWM,4d RSI DDWM LT11 - L DDWM,5d RSI DDWM LT15 - L DDWM
DGRO,10d RSI DGRO LT22 - L DGRO,8d RSI DGRO LT19 - L DGRO
DIVO,12d RSI DIVO LT28 - L DIVO,11d RSI DIVO LT25 - L DIVO
DLN,5d RSI DLN LT11 - L DLN,6d RSI DLN LT15 - L DLN
DRV,4d RSI DRV LT14 - L DRV,5d RSI DRV LT21 - L DRV
DUST,3d RSI DUST LT11 - L DUST,4d RSI DUST LT17 - L DUST
DXD,13d RSI DXD LT31 - L DXD,12d RSI DXD LT30 - L DXD
ECH,11d RSI ECH LT28 - L ECH,12d RSI ECH LT29 - L ECH
EDC,13d RSI EDC LT28 - L EDC,10d RSI EDC LT25 - L EDC
EEMV,7d RSI EEMV LT17 - L EEMV,5d RSI EEMV LT14 - L EEMV
EFA,10d RSI EFA LT23 - L EFA,12d RSI EFA LT28 - L EFA
