ticker,branch_id
ACWI,21d RSI ACWI LT34 - L ACWI
ACWV,21d RSI ACWV LT32 - L ACWV
ACWX,12d RSI ACWX LT28 - L ACWX
AGG,10d RSI AGG LT20 - L AGG
AGQ,6d RSI AGQ LT12 - L AGQ
AIA,5d RSI AIA LT14 - L AIA
AIRR,20d RSI AIRR LT38 - L AIRR
AMLP,19d RSI AMLP LT38 - L AMLP
AOA,17d RSI AOA LT32 - L AOA
AOK,21d RSI AOK LT30 - L AOK
AOM,21d RSI AOM LT32 - L AOM
AOR,21d RSI AOR LT33 - L AOR
ARGT,9d RSI ARGT LT28 - L ARGT
ARKG,3d RSI ARKG LT12 - L ARKG
ARKK,4d RSI ARKK LT11 - L ARKK
ARKQ,8d RSI ARKQ LT19 - L ARKQ
ARKW,4d RSI ARKW LT11 - L ARKW
BAR,12d RSI BAR LT28 - L BAR
BCI,5d RSI BCI LT12 - L BCI
BIL,3d RSI BIL LT65 - L BIL
BITI,4d RSI BITI LT19 - L BITI
BIV,20d RSI BIV LT31 - L BIV
BIZD,20d RSI BIZD LT37 - L BIZD
BLV,5d RSI BLV LT11 - L BLV
BND,10d RSI BND LT20 - L BND
BNO,10d RSI BNO LT32 - L BNO
BOIL,4d RSI BOIL LT10 - L BOIL
BOTZ,21d RSI BOTZ LT33 - L BOTZ
BTAL,4d RSI BTAL LT17 - L BTAL
BWX,9d RSI BWX LT18 - L BWX
BWZ,8d RSI BWZ LT18 - L BWZ
CALF,4d RSI CALF LT13 - L CALF
CEF,19d RSI CEF LT32 - L CEF
CIBR,3d RSI CIBR LT11 - L CIBR
COMT,9d RSI COMT LT26 - L COMT
COPX,10d RSI COPX LT24 - L COPX
CORN,20d RSI CORN LT35 - L CORN
COWZ,5d RSI COWZ LT13 - L COWZ
CQQQ,4d RSI CQQQ LT10 - L CQQQ
CWI,10d RSI CWI LT27 - L CWI
CXSE,4d RSI CXSE LT10 - L CXSE
DBA,12d RSI DBA LT33 - L DBA
DBC,3d RSI DBC LT10 - L DBC
DBO,4d RSI DBO LT15 - L DBO
DDWM,5d RSI DDWM LT15 - L DDWM
DES,12d RSI DES LT29 - L DES
DFEN,14d RSI DFEN LT34 - L DFEN
DGRO,8d RSI DGRO LT19 - L DGRO
DGRW,14d RSI DGRW LT30 - L DGRW
DIA,21d RSI DIA LT35 - L DIA
DIV,9d RSI DIV LT23 - L DIV
DIVB,10d RSI DIVB LT26 - L DIVB
DIVI,11d RSI DIVI LT26 - L DIVI
DIVO,11d RSI DIVO LT25 - L DIVO
DLN,6d RSI DLN LT15 - L DLN
DOG,20d RSI DOG LT35 - L DOG
DON,15d RSI DON LT34 - L DON
DPST,17d RSI DPST LT35 - L DPST
DRIP,18d RSI DRIP LT31 - L DRIP
DRN,18d RSI DRN LT28 - L DRN
DSI,20d RSI DSI LT36 - L DSI
DUST,4d RSI DUST LT17 - L DUST
DVY,21d RSI DVY LT36 - L DVY
DVYE,5d RSI DVYE LT10 - L DVYE
DXD,12d RSI DXD LT30 - L DXD
DXJ,4d RSI DXJ LT12 - L DXJ
EBND,13d RSI EBND LT25 - L EBND
ECH,12d RSI ECH LT29 - L ECH
EDC,10d RSI EDC LT25 - L EDC
EDV,6d RSI EDV LT16 - L EDV
EDZ,3d RSI EDZ LT12 - L EDZ
EEM,5d RSI EEM LT11 - L EEM
EEMV,5d RSI EEMV LT14 - L EEMV
EFA,12d RSI EFA LT28 - L EFA
EFAV,6d RSI EFAV LT11 - L EFAV
EFG,18d RSI EFG LT30 - L EFG
EIDO,17d RSI EIDO LT35 - L EIDO
EIS,7d RSI EIS LT19 - L EIS
EMB,7d RSI EMB LT16 - L EMB
EMGF,5d RSI EMGF LT16 - L EMGF
EMHY,6d RSI EMHY LT12 - L EMHY
EMLC,12d RSI EMLC LT24 - L EMLC
EMLP,19d RSI EMLP LT37 - L EMLP
EMXC,6d RSI EMXC LT15 - L EMXC
EPOL,9d RSI EPOL LT21 - L EPOL
EPP,9d RSI EPP LT24 - L EPP
EQWL,13d RSI EQWL LT29 - L EQWL
ESGD,5d RSI ESGD LT11 - L ESGD
ESGU,21d RSI ESGU LT36 - L ESGU
EWA,18d RSI EWA LT33 - L EWA
EWC,13d RSI EWC LT30 - L EWC
EWD,6d RSI EWD LT17 - L EWD
EWG,4d RSI EWG LT12 - L EWG
EWH,13d RSI EWH LT21 - L EWH
EWJ,21d RSI EWJ LT35 - L EWJ
EWM,21d RSI EWM LT29 - L EWM
EWQ,4d RSI EWQ LT13 - L EWQ
EWS,7d RSI EWS LT19 - L EWS
EWT,11d RSI EWT LT25 - L EWT
EWU,11d RSI EWU LT29 - L EWU
EWW,15d RSI EWW LT33 - L EWW
EWY,6d RSI EWY LT14 - L EWY
EWZS,7d RSI EWZS LT20 - L EWZS
EZA,21d RSI EZA LT33 - L EZA
EZU,5d RSI EZU LT12 - L EZU
FAS,15d RSI FAS LT31 - L FAS
FAZ,20d RSI FAZ LT37 - L FAZ
FBND,21d RSI FBND LT30 - L FBND
FBT,7d RSI FBT LT22 - L FBT
FCG,21d RSI FCG LT39 - L FCG
FDD,4d RSI FDD LT10 - L FDD
FDIS,19d RSI FDIS LT35 - L FDIS
FDL,7d RSI FDL LT24 - L FDL
FDN,4d RSI FDN LT11 - L FDN
FDT,8d RSI FDT LT26 - L FDT
FDVV,7d RSI FDVV LT22 - L FDVV
FENY,14d RSI FENY LT35 - L FENY
FEZ,5d RSI FEZ LT13 - L FEZ
FHLC,21d RSI FHLC LT36 - L FHLC
FIDU,21d RSI FIDU LT35 - L FIDU
FLCH,6d RSI FLCH LT13 - L FLCH
FLCO,8d RSI FLCO LT19 - L FLCO
FLGB,14d RSI FLGB LT31 - L FLGB
FLJP,17d RSI FLJP LT33 - L FLJP
FLKR,6d RSI FLKR LT19 - L FLKR
FLOT,4d RSI FLOT LT15 - L FLOT
FLQM,19d RSI FLQM LT35 - L FLQM
FLRN,3d RSI FLRN LT16 - L FLRN
FLTR,19d RSI FLTR LT38 - L FLTR
FLTW,6d RSI FLTW LT17 - L FLTW
FNCL,16d RSI FNCL LT33 - L FNCL
FNDA,19d RSI FNDA LT34 - L FNDA
FNDC,20d RSI FNDC LT35 - L FNDC
FNDE,5d RSI FNDE LT11 - L FNDE
FNDF,9d RSI FNDF LT27 - L FNDF
FSTA,7d RSI FSTA LT19 - L FSTA
FTCS,21d RSI FTCS LT34 - L FTCS
FTHI,12d RSI FTHI LT32 - L FTHI
FTXL,20d RSI FTXL LT38 - L FTXL
FUTY,11d RSI FUTY LT24 - L FUTY
FV,17d RSI FV LT35 - L FV
FXF,7d RSI FXF LT14 - L FXF
FXO,18d RSI FXO LT38 - L FXO
FXR,17d RSI FXR LT36 - L FXR
FXU,21d RSI FXU LT33 - L FXU
GCOW,17d RSI GCOW LT32 - L GCOW
GDX,20d RSI GDX LT33 - L GDX
GDXJ,5d RSI GDXJ LT17 - L GDXJ
GIGB,7d RSI GIGB LT19 - L GIGB
GLD,14d RSI GLD LT30 - L GLD
GLL,4d RSI GLL LT13 - L GLL
GLTR,4d RSI GLTR LT13 - L GLTR
GNR,10d RSI GNR LT26 - L GNR
GOVT,18d RSI GOVT LT29 - L GOVT
GRID,21d RSI GRID LT36 - L GRID
GSG,4d RSI GSG LT14 - L GSG
GSLC,21d RSI GSLC LT36 - L GSLC
GUNR,13d RSI GUNR LT29 - L GUNR
GUSH,21d RSI GUSH LT38 - L GUSH
GVAL,6d RSI GVAL LT19 - L GVAL
HACK,4d RSI HACK LT12 - L HACK
HDGE,17d RSI HDGE LT36 - L HDGE
HDV,9d RSI HDV LT26 - L HDV
HYLB,14d RSI HYLB LT27 - L HYLB
IAI,16d RSI IAI LT33 - L IAI
IAT,11d RSI IAT LT30 - L IAT
IAU,9d RSI IAU LT22 - L IAU
IBB,4d RSI IBB LT10 - L IBB
IBND,6d RSI IBND LT11 - L IBND
ICF,12d RSI ICF LT23 - L ICF
ICLN,6d RSI ICLN LT13 - L ICLN
ICOW,10d RSI ICOW LT29 - L ICOW
ICVT,5d RSI ICVT LT10 - L ICVT
IDEV,14d RSI IDEV LT31 - L IDEV
IDMO,15d RSI IDMO LT32 - L IDMO
IDU,11d RSI IDU LT24 - L IDU
IDV,13d RSI IDV LT30 - L IDV
IDX,15d RSI IDX LT32 - L IDX
IEF,4d RSI IEF LT11 - L IEF
IEFA,10d RSI IEFA LT26 - L IEFA
IEUR,4d RSI IEUR LT13 - L IEUR
IEV,4d RSI IEV LT12 - L IEV
IEZ,8d RSI IEZ LT26 - L IEZ
IGE,20d RSI IGE LT36 - L IGE
IGF,18d RSI IGF LT32 - L IGF
IGIB,9d RSI IGIB LT18 - L IGIB
IGLB,20d RSI IGLB LT29 - L IGLB
IGLD,9d RSI IGLD LT22 - L IGLD
IGM,4d RSI IGM LT11 - L IGM
IGV,4d RSI IGV LT14 - L IGV
IHE,20d RSI IHE LT37 - L IHE
IHF,20d RSI IHF LT37 - L IHF
IHI,17d RSI IHI LT32 - L IHI
IJH,21d RSI IJH LT36 - L IJH
IJJ,12d RSI IJJ LT31 - L IJJ
IJK,20d RSI IJK LT35 - L IJK
IJR,16d RSI IJR LT33 - L IJR
IJS,15d RSI IJS LT33 - L IJS
IJT,12d RSI IJT LT29 - L IJT
IMCG,15d RSI IMCG LT28 - L IMCG
IMTM,14d RSI IMTM LT30 - L IMTM
INDA,17d RSI INDA LT35 - L INDA
INDY,14d RSI INDY LT32 - L INDY
INTF,18d RSI INTF LT34 - L INTF
IOO,15d RSI IOO LT33 - L IOO
IPAC,15d RSI IPAC LT31 - L IPAC
IQDF,6d RSI IQDF LT15 - L IQDF
IQLT,19d RSI IQLT LT33 - L IQLT
ITA,14d RSI ITA LT34 - L ITA
ITB,10d RSI ITB LT27 - L ITB
ITOT,21d RSI ITOT LT36 - L ITOT
IUSG,18d RSI IUSG LT34 - L IUSG
IUSV,11d RSI IUSV LT27 - L IUSV
IVE,6d RSI IVE LT16 - L IVE
IVLU,7d RSI IVLU LT20 - L IVLU
IVV,21d RSI IVV LT38 - L IVV
IVW,21d RSI IVW LT37 - L IVW
IWB,19d RSI IWB LT35 - L IWB
IWD,7d RSI IWD LT19 - L IWD
IWM,16d RSI IWM LT30 - L IWM
IWN,16d RSI IWN LT32 - L IWN
IWO,4d RSI IWO LT18 - L IWO
IWP,6d RSI IWP LT19 - L IWP
IWR,19d RSI IWR LT33 - L IWR
IWS,16d RSI IWS LT33 - L IWS
IWV,21d RSI IWV LT35 - L IWV
IWX,11d RSI IWX LT28 - L IWX
IXC,14d RSI IXC LT34 - L IXC
IXJ,21d RSI IXJ LT35 - L IXJ
IXUS,11d RSI IXUS LT27 - L IXUS
IYC,20d RSI IYC LT35 - L IYC
IYE,20d RSI IYE LT38 - L IYE
IYF,19d RSI IYF LT35 - L IYF
IYG,15d RSI IYG LT32 - L IYG
IYH,19d RSI IYH LT36 - L IYH
IYJ,21d RSI IYJ LT36 - L IYJ
IYK,7d RSI IYK LT21 - L IYK
IYM,12d RSI IYM LT27 - L IYM
IYR,18d RSI IYR LT29 - L IYR
IYT,12d RSI IYT LT29 - L IYT
IYW,3d RSI IYW LT11 - L IYW
JETS,9d RSI JETS LT23 - L JETS
JHMD,5d RSI JHMD LT16 - L JHMD
JHMM,19d RSI JHMM LT34 - L JHMM
JQUA,21d RSI JQUA LT36 - L JQUA
KBA,20d RSI KBA LT30 - L KBA
KBWY,8d RSI KBWY LT21 - L KBWY
KIE,5d RSI KIE LT16 - L KIE
KRE,14d RSI KRE LT33 - L KRE
KSA,19d RSI KSA LT30 - L KSA
LEMB,13d RSI LEMB LT23 - L LEMB
LIT,21d RSI LIT LT34 - L LIT
LQD,5d RSI LQD LT13 - L LQD
LRGF,20d RSI LRGF LT37 - L LRGF
LVHI,5d RSI LVHI LT16 - L LVHI
MDY,13d RSI MDY LT32 - L MDY
MGC,20d RSI MGC LT37 - L MGC
MGV,10d RSI MGV LT27 - L MGV
MLPA,20d RSI MLPA LT40 - L MLPA
MLPX,19d RSI MLPX LT38 - L MLPX
MMIT,11d RSI MMIT LT11 - L MMIT
MOAT,4d RSI MOAT LT11 - L MOAT
MOO,19d RSI MOO LT33 - L MOO
MORT,19d RSI MORT LT28 - L MORT
MTUM,4d RSI MTUM LT10 - L MTUM
NAIL,17d RSI NAIL LT32 - L NAIL
NLR,11d RSI NLR LT30 - L NLR
NOBL,9d RSI NOBL LT22 - L NOBL
NUGT,21d RSI NUGT LT33 - L NUGT
NULG,5d RSI NULG LT12 - L NULG
NULV,11d RSI NULV LT26 - L NULV
NUSC,20d RSI NUSC LT34 - L NUSC
OEF,20d RSI OEF LT37 - L OEF
OIH,12d RSI OIH LT29 - L OIH
OILK,6d RSI OILK LT23 - L OILK
OUNZ,20d RSI OUNZ LT35 - L OUNZ
PALL,5d RSI PALL LT19 - L PALL
PBD,4d RSI PBD LT11 - L PBD
PBUS,19d RSI PBUS LT35 - L PBUS
PDBC,21d RSI PDBC LT38 - L PDBC
PEY,5d RSI PEY LT14 - L PEY
PFF,10d RSI PFF LT22 - L PFF
PFFD,5d RSI PFFD LT10 - L PFFD
PFXF,21d RSI PFXF LT32 - L PFXF
PGX,5d RSI PGX LT10 - L PGX
PHYS,13d RSI PHYS LT28 - L PHYS
PILL,10d RSI PILL LT26 - L PILL
PPH,7d RSI PPH LT20 - L PPH
PPLT,4d RSI PPLT LT15 - L PPLT
PREF,10d RSI PREF LT11 - L PREF
PRF,8d RSI PRF LT22 - L PRF
PSC,14d RSI PSC LT31 - L PSC
PSI,4d RSI PSI LT12 - L PSI
PSK,5d RSI PSK LT11 - L PSK
PSQ,3d RSI PSQ LT12 - L PSQ
PTLC,20d RSI PTLC LT43 - L PTLC
QCLN,12d RSI QCLN LT27 - L QCLN
QID,3d RSI QID LT11 - L QID
QLD,19d RSI QLD LT35 - L QLD
QLTA,9d RSI QLTA LT22 - L QLTA
QQQE,21d RSI QQQE LT35 - L QQQE
QQXT,3d RSI QQXT LT10 - L QQXT
QUAL,19d RSI QUAL LT35 - L QUAL
RDVY,12d RSI RDVY LT30 - L RDVY
REM,20d RSI REM LT28 - L REM
REMX,7d RSI REMX LT20 - L REMX
RING,4d RSI RING LT12 - L RING
ROBO,21d RSI ROBO LT34 - L ROBO
RPV,3d RSI RPV LT10 - L RPV
RSP,20d RSI RSP LT35 - L RSP
RSPG,20d RSI RSPG LT37 - L RSPG
RSPN,19d RSI RSPN LT35 - L RSPN
RSPS,5d RSI RSPS LT14 - L RSPS
RSPT,20d RSI RSPT LT35 - L RSPT
RWR,20d RSI RWR LT30 - L RWR
SCHB,21d RSI SCHB LT36 - L SCHB
SCHC,21d RSI SCHC LT35 - L SCHC
SCHD,13d RSI SCHD LT30 - L SCHD
SCHF,16d RSI SCHF LT32 - L SCHF
SCHK,19d RSI SCHK LT35 - L SCHK
SCHM,20d RSI SCHM LT34 - L SCHM
SCHP,4d RSI SCHP LT11 - L SCHP
SCHV,11d RSI SCHV LT27 - L SCHV
SCHX,19d RSI SCHX LT35 - L SCHX
SCZ,18d RSI SCZ LT29 - L SCZ
SDIV,10d RSI SDIV LT20 - L SDIV
SDS,4d RSI SDS LT18 - L SDS
SDVY,20d RSI SDVY LT37 - L SDVY
SDY,7d RSI SDY LT19 - L SDY
SGOL,17d RSI SGOL LT33 - L SGOL
SH,4d RSI SH LT18 - L SH
