ticker,branch_id
BBLU,8d RSI BBLU LT36 - L BBLU
DDM,21d RSI DDM LT35 - L DDM
DRV,5d RSI DRV LT21 - L DRV
FGD,13d RSI FGD LT30 - L FGD
FNDB,12d RSI FNDB LT30 - L FNDB
FNDX,6d RSI FNDX LT16 - L FNDX
FPE,11d RSI FPE LT16 - L FPE
FPEI,6d RSI FPEI LT10 - L FPEI
FTGC,11d RSI FTGC LT28 - L FTGC
FTXO,16d RSI FTXO LT34 - L FTXO
FTXR,14d RSI FTXR LT31 - L FTXR
FVD,5d RSI FVD LT11 - L FVD
FXN,14d RSI FXN LT35 - L FXN
GOVI,6d RSI GOVI LT14 - L GOVI
GSIE,13d RSI GSIE LT30 - L GSIE
IHDG,4d RSI IHDG LT12 - L IHDG
KBE,12d RSI KBE LT30 - L KBE
KBWB,19d RSI KBWB LT34 - L KBWB
KBWD,18d RSI KBWD LT30 - L KBWD
LMBS,3d RSI LMBS LT36 - L LMBS
PCEF,17d RSI PCEF LT26 - L PCEF
PGF,5d RSI PGF LT11 - L PGF
PXF,6d RSI PXF LT23 - L PXF
QYLD,9d RSI QYLD LT19 - L QYLD
RLY,21d RSI RLY LT36 - L RLY
RWM,5d RSI RWM LT18 - L RWM
SCHA,19d RSI SCHA LT32 - L SCHA
SECT,19d RSI SECT LT36 - L SECT
SPMO,11d RSI SPMO LT26 - L SPMO
SPYD,8d RSI SPYD LT23 - L SPYD
SPYG,21d RSI SPYG LT35 - L SPYG
SPYV,11d RSI SPYV LT27 - L SPYV
SSO,20d RSI SSO LT37 - L SSO
TZA,4d RSI TZA LT14 - L TZA
VOX,4d RSI VOX LT13 - L VOX
VRP,21d RSI VRP LT25 - L VRP
WTPI,21d RSI WTPI LT34 - L WTPI
XLF,12d RSI XLF LT30 - L XLF
XLU,11d RSI XLU LT24 - L XLU
XYLD,16d RSI XYLD LT28 - L XYLD
