ticker,branch_id
DDM,20d RSI DDM LT34 - L DDM
DRV,21d RSI DRV LT36 - L DRV
FGD,5d RSI FGD LT12 - L FGD
FNDB,6d RSI FNDB LT17 - L FNDB
FNDX,9d RSI FNDX LT25 - L FNDX
FPE,20d RSI FPE LT24 - L FPE
FPEI,5d RSI FPEI LT10 - L FPEI
FTGC,4d RSI FTGC LT11 - L FTGC
FTXO,15d RSI FTXO LT33 - L FTXO
FTXR,5d RSI FTXR LT14 - L FTXR
FVD,10d RSI FVD LT24 - L FVD
FXN,15d RSI FXN LT35 - L FXN
GOVI,8d RSI GOVI LT20 - L GOVI
HYLS,5d RSI HYLS LT10 - L HYLS
IHDG,14d RSI IHDG LT32 - L IHDG
KBE,11d RSI KBE LT29 - L KBE
KBWB,17d RSI KBWB LT33 - L KBWB
KBWD,20d RSI KBWD LT31 - L KBWD
PCEF,19d RSI PCEF LT27 - L PCEF
PCY,5d RSI PCY LT11 - L PCY
PGF,7d RSI PGF LT16 - L PGF
PXF,6d RSI PXF LT22 - L PXF
QYLD,18d RSI QYLD LT34 - L QYLD
RLY,19d RSI RLY LT35 - L RLY
RWM,4d RSI RWM LT13 - L RWM
SCHA,21d RSI SCHA LT33 - L SCHA
SCHG,4d RSI SCHG LT10 - L SCHG
SECT,18d RSI SECT LT35 - L SECT
SPYD,3d RSI SPYD LT10 - L SPYD
SPYG,21d RSI SPYG LT37 - L SPYG
SPYV,7d RSI SPYV LT19 - L SPYV
SSO,17d RSI SSO LT34 - L SSO
TZA,11d RSI TZA LT30 - L TZA
VRP,5d RSI VRP LT10 - L VRP
WTPI,20d RSI WTPI LT34 - L WTPI
XLF,13d RSI XLF LT31 - L XLF
XLU,10d RSI XLU LT22 - L XLU
XYLD,15d RSI XYLD LT27 - L XYLD
