ticker,branch_id
AAAU,9d RSI AAAU LT41 - L AAAU
AADR,16d RSI AADR LT37 - L AADR
ABFL,10d RSI ABFL LT28 - L ABFL
ACES,16d RSI ACES LT36 - L ACES
ACWI,3d RSI ACWI LT10 - L ACWI
ACWV,3d RSI ACWV LT10 - L ACWV
ADME,18d RSI ADME LT36 - L ADME
AFIF,13d RSI AFIF LT37 - L AFIF
AFK,21d RSI AFK LT54 - L AFK
AGGY,6d RSI AGGY LT28 - L AGGY
AGNG,15d RSI AGNG LT40 - L AGNG
AGZ,3d RSI AGZ LT12 - L AGZ
AGZD,3d RSI AGZD LT16 - L AGZD
AIA,21d RSI AIA LT42 - L AIA
AIQ,10d RSI AIQ LT28 - L AIQ
AIRR,17d RSI AIRR LT30 - L AIRR
AIVL,7d RSI AIVL LT27 - L AIVL
AMLP,10d RSI AMLP LT24 - L AMLP
AMZA,20d RSI AMZA LT41 - L AMZA
ANGL,3d RSI ANGL LT13 - L ANGL
AOK,3d RSI AOK LT28 - L AOK
AOM,11d RSI AOM LT36 - L AOM
AOR,4d RSI AOR LT19 - L AOR
ARGT,19d RSI ARGT LT35 - L ARGT
ARKK,11d RSI ARKK LT28 - L ARKK
ARKQ,15d RSI ARKQ LT31 - L ARKQ
ARTY,4d RSI ARTY LT16 - L ARTY
ASEA,15d RSI ASEA LT41 - L ASEA
ASHS,18d RSI ASHS LT50 - L ASHS
ATMP,21d RSI ATMP LT43 - L ATMP
AUSF,3d RSI AUSF LT12 - L AUSF
AVGG,3d RSI AVGG LT10 - L AVGG
BAB,8d RSI BAB LT28 - L BAB
BAR,10d RSI BAR LT42 - L BAR
BATT,10d RSI BATT LT34 - L BATT
BBAG,3d RSI BBAG LT13 - L BBAG
BBAX,12d RSI BBAX LT41 - L BBAX
BBCA,13d RSI BBCA LT39 - L BBCA
BBEU,4d RSI BBEU LT19 - L BBEU
BBH,3d RSI BBH LT14 - L BBH
BBJP,14d RSI BBJP LT40 - L BBJP
BBRE,5d RSI BBRE LT22 - L BBRE
BCD,20d RSI BCD LT48 - L BCD
BCI,20d RSI BCI LT48 - L BCI
BDRY,20d RSI BDRY LT40 - L BDRY
BFOR,10d RSI BFOR LT25 - L BFOR
BGRN,7d RSI BGRN LT41 - L BGRN
BIBL,10d RSI BIBL LT29 - L BIBL
BIS,7d RSI BIS LT22 - L BIS
BIZD,4d RSI BIZD LT11 - L BIZD
BJUL,5d RSI BJUL LT19 - L BJUL
BKF,4d RSI BKF LT11 - L BKF
BKLN,19d RSI BKLN LT43 - L BKLN
BLCN,13d RSI BLCN LT24 - L BLCN
BLES,3d RSI BLES LT13 - L BLES
BLOK,20d RSI BLOK LT35 - L BLOK
BNDC,4d RSI BNDC LT22 - L BNDC
BNDS,21d RSI BNDS LT15 - L BNDS
BNDW,3d RSI BNDW LT14 - L BNDW
BNO,19d RSI BNO LT40 - L BNO
BOCT,4d RSI BOCT LT14 - L BOCT
BOIL,15d RSI BOIL LT33 - L BOIL
BRZU,19d RSI BRZU LT40 - L BRZU
BSCP,3d RSI BSCP LT46 - L BSCP
BSCQ,3d RSI BSCQ LT41 - L BSCQ
BSCR,3d RSI BSCR LT18 - L BSCR
BSCS,4d RSI BSCS LT59 - L BSCS
BSJP,15d RSI BSJP LT58 - L BSJP
BSJQ,3d RSI BSJQ LT18 - L BSJQ
BSV,4d RSI BSV LT21 - L BSV
BTAL,4d RSI BTAL LT11 - L BTAL
BUFF,4d RSI BUFF LT10 - L BUFF
BVAL,3d RSI BVAL LT10 - L BVAL
BYLD,4d RSI BYLD LT23 - L BYLD
CALF,10d RSI CALF LT19 - L CALF
CANE,21d RSI CANE LT31 - L CANE
CATH,5d RSI CATH LT12 - L CATH
CCOR,4d RSI CCOR LT14 - L CCOR
CDC,10d RSI CDC LT37 - L CDC
CDL,3d RSI CDL LT13 - L CDL
CEF,16d RSI CEF LT47 - L CEF
CEFS,18d RSI CEFS LT35 - L CEFS
CEMB,5d RSI CEMB LT33 - L CEMB
CFA,5d RSI CFA LT23 - L CFA
CFO,3d RSI CFO LT16 - L CFO
CGW,10d RSI CGW LT24 - L CGW
CHGX,3d RSI CHGX LT10 - L CHGX
CHIQ,19d RSI CHIQ LT42 - L CHIQ
CIBR,8d RSI CIBR LT29 - L CIBR
CMBS,6d RSI CMBS LT28 - L CMBS
CMDY,21d RSI CMDY LT48 - L CMDY
CNRG,3d RSI CNRG LT10 - L CNRG
CNYA,10d RSI CNYA LT29 - L CNYA
COLO,3d RSI COLO LT11 - L COLO
COM,21d RSI COM LT44 - L COM
COMB,19d RSI COMB LT47 - L COMB
COMT,19d RSI COMT LT43 - L COMT
CORN,18d RSI CORN LT35 - L CORN
CORP,10d RSI CORP LT33 - L CORP
COWZ,4d RSI COWZ LT16 - L COWZ
CPAI,3d RSI CPAI LT10 - L CPAI
CPER,19d RSI CPER LT35 - L CPER
CRAK,5d RSI CRAK LT17 - L CRAK
CRBN,3d RSI CRBN LT10 - L CRBN
CRTC,3d RSI CRTC LT10 - L CRTC
CSB,5d RSI CSB LT20 - L CSB
CSD,3d RSI CSD LT18 - L CSD
CSM,5d RSI CSM LT21 - L CSM
CSRE,10d RSI CSRE LT12 - L CSRE
CWB,6d RSI CWB LT20 - L CWB
CWEB,21d RSI CWEB LT37 - L CWEB
CWI,17d RSI CWI LT40 - L CWI
CWS,3d RSI CWS LT13 - L CWS
CXSE,21d RSI CXSE LT48 - L CXSE
CZA,4d RSI CZA LT19 - L CZA
DAX,15d RSI DAX LT40 - L DAX
DBA,18d RSI DBA LT38 - L DBA
DBAW,16d RSI DBAW LT43 - L DBAW
DBC,19d RSI DBC LT42 - L DBC
DBE,3d RSI DBE LT10 - L DBE
DBEM,3d RSI DBEM LT10 - L DBEM
DBEU,19d RSI DBEU LT43 - L DBEU
DBEZ,17d RSI DBEZ LT43 - L DBEZ
DBJP,21d RSI DBJP LT43 - L DBJP
DBO,20d RSI DBO LT42 - L DBO
DBP,17d RSI DBP LT49 - L DBP
DDIV,3d RSI DDIV LT14 - L DDIV
DDLS,15d RSI DDLS LT42 - L DDLS
DDWM,9d RSI DDWM LT43 - L DDWM
DES,8d RSI DES LT23 - L DES
DEUS,4d RSI DEUS LT21 - L DEUS
DEW,4d RSI DEW LT17 - L DEW
DFE,3d RSI DFE LT12 - L DFE
DFEN,19d RSI DFEN LT40 - L DFEN
DFJ,20d RSI DFJ LT41 - L DFJ
DFNL,4d RSI DFNL LT14 - L DFNL
DGP,16d RSI DGP LT46 - L DGP
DGRE,12d RSI DGRE LT41 - L DGRE
DGRO,3d RSI DGRO LT11 - L DGRO
DGRS,5d RSI DGRS LT18 - L DGRS
DGRW,4d RSI DGRW LT16 - L DGRW
DGT,3d RSI DGT LT11 - L DGT
DHS,20d RSI DHS LT40 - L DHS
DIAL,3d RSI DIAL LT10 - L DIAL
DIG,10d RSI DIG LT30 - L DIG
DIM,5d RSI DIM LT23 - L DIM
DINT,4d RSI DINT LT15 - L DINT
DIV,7d RSI DIV LT30 - L DIV
DIVB,3d RSI DIVB LT10 - L DIVB
DIVO,6d RSI DIVO LT25 - L DIVO
DJD,15d RSI DJD LT38 - L DJD
DJP,20d RSI DJP LT48 - L DJP
DLN,8d RSI DLN LT28 - L DLN
DLS,3d RSI DLS LT10 - L DLS
DNL,3d RSI DNL LT10 - L DNL
DOL,4d RSI DOL LT24 - L DOL
DON,10d RSI DON LT30 - L DON
DRSK,3d RSI DRSK LT10 - L DRSK
DRV,4d RSI DRV LT16 - L DRV
DSI,14d RSI DSI LT32 - L DSI
DSTL,3d RSI DSTL LT16 - L DSTL
DTD,3d RSI DTD LT15 - L DTD
DTEC,7d RSI DTEC LT18 - L DTEC
DTH,3d RSI DTH LT17 - L DTH
DUG,17d RSI DUG LT36 - L DUG
DULL,6d RSI DULL LT10 - L DULL
DUSA,4d RSI DUSA LT13 - L DUSA
DUSL,7d RSI DUSL LT24 - L DUSL
DVOL,4d RSI DVOL LT20 - L DVOL
DVY,20d RSI DVY LT39 - L DVY
DVYE,17d RSI DVYE LT46 - L DVYE
DWAS,4d RSI DWAS LT14 - L DWAS
DWLD,4d RSI DWLD LT10 - L DWLD
DWM,3d RSI DWM LT11 - L DWM
DWSH,8d RSI DWSH LT25 - L DWSH
DWX,8d RSI DWX LT32 - L DWX
DXJ,20d RSI DXJ LT44 - L DXJ
EAGG,4d RSI EAGG LT20 - L EAGG
EBIZ,3d RSI EBIZ LT10 - L EBIZ
EBND,6d RSI EBND LT27 - L EBND
ECH,17d RSI ECH LT39 - L ECH
ECNS,17d RSI ECNS LT35 - L ECNS
ECON,11d RSI ECON LT36 - L ECON
EDEN,17d RSI EDEN LT32 - L EDEN
EDIV,5d RSI EDIV LT27 - L EDIV
EDOW,3d RSI EDOW LT10 - L EDOW
EELV,11d RSI EELV LT43 - L EELV
EEM,14d RSI EEM LT38 - L EEM
EEMS,6d RSI EEMS LT27 - L EEMS
EEMV,19d RSI EEMV LT45 - L EEMV
EEMX,3d RSI EEMX LT11 - L EEMX
EES,10d RSI EES LT22 - L EES
EET,3d RSI EET LT10 - L EET
EEV,20d RSI EEV LT30 - L EEV
EFA,14d RSI EFA LT36 - L EFA
EFAS,5d RSI EFAS LT24 - L EFAS
EFAX,3d RSI EFAX LT12 - L EFAX
EFG,20d RSI EFG LT38 - L EFG
EFNL,20d RSI EFNL LT44 - L EFNL
EFO,18d RSI EFO LT40 - L EFO
EFV,15d RSI EFV LT43 - L EFV
EFZ,18d RSI EFZ LT35 - L EFZ
EIDO,11d RSI EIDO LT29 - L EIDO
EINC,17d RSI EINC LT35 - L EINC
EIRL,3d RSI EIRL LT10 - L EIRL
ELD,3d RSI ELD LT16 - L ELD
EMCB,21d RSI EMCB LT45 - L EMCB
EMCS,14d RSI EMCS LT38 - L EMCS
EMHY,17d RSI EMHY LT44 - L EMHY
EMLC,4d RSI EMLC LT22 - L EMLC
EMLP,6d RSI EMLP LT31 - L EMLP
EMMF,4d RSI EMMF LT20 - L EMMF
EMQQ,11d RSI EMQQ LT25 - L EMQQ
EMTL,5d RSI EMTL LT30 - L EMTL
EMXC,3d RSI EMXC LT12 - L EMXC
ENFR,13d RSI ENFR LT28 - L ENFR
ENOR,15d RSI ENOR LT46 - L ENOR
ENZL,4d RSI ENZL LT12 - L ENZL
EPOL,11d RSI EPOL LT38 - L EPOL
EPP,10d RSI EPP LT34 - L EPP
EPRF,5d RSI EPRF LT14 - L EPRF
EPS,4d RSI EPS LT13 - L EPS
EPU,6d RSI EPU LT32 - L EPU
EPV,14d RSI EPV LT30 - L EPV
EQAL,8d RSI EQAL LT27 - L EQAL
EQIN,6d RSI EQIN LT20 - L EQIN
EQL,3d RSI EQL LT11 - L EQL
EQWL,4d RSI EQWL LT14 - L EQWL
ERTH,20d RSI ERTH LT40 - L ERTH
ERX,10d RSI ERX LT30 - L ERX
ESG,4d RSI ESG LT11 - L ESG
ESGD,17d RSI ESGD LT38 - L ESGD
ESGE,14d RSI ESGE LT38 - L ESGE
ESGV,7d RSI ESGV LT23 - L ESGV
ESML,10d RSI ESML LT23 - L ESML
ESPO,5d RSI ESPO LT12 - L ESPO
EUDG,13d RSI EUDG LT37 - L EUDG
EUFN,3d RSI EUFN LT11 - L EUFN
EUM,6d RSI EUM LT17 - L EUM
EUO,10d RSI EUO LT25 - L EUO
EURL,5d RSI EURL LT21 - L EURL
EUSA,10d RSI EUSA LT29 - L EUSA
EVX,14d RSI EVX LT32 - L EVX
EWA,6d RSI EWA LT18 - L EWA
EWC,18d RSI EWC LT43 - L EWC
EWG,6d RSI EWG LT22 - L EWG
EWJ,15d RSI EWJ LT40 - L EWJ
EWK,3d RSI EWK LT10 - L EWK
EWL,8d RSI EWL LT28 - L EWL
EWN,21d RSI EWN LT40 - L EWN
EWO,14d RSI EWO LT44 - L EWO
EWP,3d RSI EWP LT23 - L EWP
EWQ,10d RSI EWQ LT34 - L EWQ
EWS,12d RSI EWS LT39 - L EWS
EWU,3d RSI EWU LT10 - L EWU
EWV,13d RSI EWV LT35 - L EWV
EWX,4d RSI EWX LT11 - L EWX
EWY,3d RSI EWY LT13 - L EWY
EWZ,4d RSI EWZ LT14 - L EWZ
EWZS,11d RSI EWZS LT33 - L EWZS
EXI,3d RSI EXI LT12 - L EXI
EYLD,10d RSI EYLD LT31 - L EYLD
EZM,8d RSI EZM LT23 - L EZM
FAAR,10d RSI FAAR LT36 - L FAAR
FAD,3d RSI FAD LT14 - L FAD
