ticker,branch_id
ACWV,16d RSI ACWV LT56 - L ACWV
ANGL,4d RSI ANGL LT19 - L ANGL
AOK,3d RSI AOK LT26 - L AOK
AOM,3d RSI AOM LT19 - L AOM
AOR,3d RSI AOR LT15 - L AOR
ARKK,15d RSI ARKK LT33 - L ARKK
BAR,7d RSI BAR LT37 - L BAR
BBLU,3d RSI BBLU LT13 - L BBLU
BIZD,5d RSI BIZD LT21 - L BIZD
BKLN,3d RSI BKLN LT28 - L BKLN
BOIL,16d RSI BOIL LT34 - L BOIL
BSCQ,7d RSI BSCQ LT66 - L BSCQ
BSCR,3d RSI BSCR LT11 - L BSCR
BSV,3d RSI BSV LT16 - L BSV
CEF,17d RSI CEF LT51 - L CEF
CIBR,10d RSI CIBR LT32 - L CIBR
COLO,3d RSI COLO LT10 - L COLO
CORN,21d RSI CORN LT38 - L CORN
COWZ,13d RSI COWZ LT39 - L COWZ
CWEB,13d RSI CWEB LT30 - L CWEB
CWI,21d RSI CWI LT43 - L CWI
CXSE,13d RSI CXSE LT41 - L CXSE
DDWM,21d RSI DDWM LT53 - L DDWM
DES,3d RSI DES LT12 - L DES
DFEN,4d RSI DFEN LT13 - L DFEN
DGRO,3d RSI DGRO LT12 - L DGRO
DGRW,3d RSI DGRW LT11 - L DGRW
DIV,19d RSI DIV LT43 - L DIV
DIVB,4d RSI DIVB LT15 - L DIVB
DIVO,3d RSI DIVO LT17 - L DIVO
DLN,3d RSI DLN LT12 - L DLN
DRV,3d RSI DRV LT10 - L DRV
DULL,6d RSI DULL LT11 - L DULL
DVY,4d RSI DVY LT19 - L DVY
DVYE,16d RSI DVYE LT46 - L DVYE
DXJ,17d RSI DXJ LT44 - L DXJ
EAGL,19d RSI EAGL LT37 - L EAGL
EBND,6d RSI EBND LT28 - L EBND
ECH,4d RSI ECH LT14 - L ECH
EDIV,6d RSI EDIV LT33 - L EDIV
EEM,3d RSI EEM LT10 - L EEM
EEMV,15d RSI EEMV LT44 - L EEMV
EFA,19d RSI EFA LT42 - L EFA
EFG,3d RSI EFG LT10 - L EFG
EFV,17d RSI EFV LT45 - L EFV
EIDO,12d RSI EIDO LT30 - L EIDO
EMHY,3d RSI EMHY LT26 - L EMHY
EMLC,5d RSI EMLC LT28 - L EMLC
