ticker,old_branches,new_branches
BKLN,18d RSI BKLN LT42 - L BKLN,3d RSI BKLN LT28 - L BKLN
BSCQ,3d RSI BSCQ LT55 - L BSCQ,7d RSI BSCQ LT66 - L BSCQ
BSCR,3d RSI BSCR LT20 - L BSCR,3d RSI BSCR LT11 - L BSCR
DLN,3d RSI DLN LT13 - L DLN,3d RSI DLN LT12 - L DLN
DRV,4d RSI DRV LT16 - L DRV,3d RSI DRV LT10 - L DRV
FAZ,13d RSI FAZ LT32 - L FAZ,12d RSI FAZ LT31 - L FAZ
FIXD,3d RSI FIXD LT13 - L FIXD,6d RSI FIXD LT27 - L FIXD
FPEI,21d RSI FPEI LT38 - L FPEI,19d RSI FPEI LT38 - L FPEI
FTSL,14d RSI FTSL LT39 - L FTSL,21d RSI FTSL LT46 - L FTSL
FTXO,11d RSI FTXO LT24 - L FTXO,13d RSI FTXO LT27 - L FTXO
GOVI,5d RSI GOVI LT21 - L GOVI,4d RSI GOVI LT17 - L GOVI
GSIE,3d RSI GSIE LT13 - L GSIE,3d RSI GSIE LT12 - L GSIE
GSY,3d RSI GSY LT70 - L GSY,4d RSI GSY LT69 - L GSY
GTO,3d RSI GTO LT16 - L GTO,3d RSI GTO LT18 - L GTO
IDMO,3d RSI IDMO LT26 - L IDMO,4d RSI IDMO LT30 - L IDMO
IHDG,19d RSI IHDG LT40 - L IHDG,4d RSI IHDG LT26 - L IHDG
KIE,4d RSI KIE LT29 - L KIE,4d RSI KIE LT30 - L KIE
PCEF,5d RSI PCEF LT16 - L PCEF,6d RSI PCEF LT18 - L PCEF
PCY,3d RSI PCY LT19 - L PCY,3d RSI PCY LT18 - L PCY
PWZ,3d RSI PWZ LT45 - L PWZ,3d RSI PWZ LT26 - L PWZ
RWM,4d RSI RWM LT13 - L RWM,4d RSI RWM LT15 - L RWM
USFR,3d RSI USFR LT69 - L USFR,3d RSI USFR LT70 - L USFR
VOOG,7d RSI VOOG LT21 - L VOOG,13d RSI VOOG LT32 - L VOOG
XLG,5d RSI XLG LT10 - L XLG,4d RSI XLG LT10 - L XLG
XLY,20d RSI XLY LT33 - L XLY,19d RSI XLY LT33 - L XLY
